,names,WeekDay Prices,Weekend Prices
0,HERO PLEASURE,14.541666666666666,18.708333333333332
1,Honda Dio,14.541666666666666,18.708333333333332
2,Honda Activa,16.625,20.791666666666668
3,TVS JUPITER,16.625,20.791666666666668
4,HERO DUET,16.625,20.791666666666668
5,HERO SPLENDOR,16.625,20.791666666666668
6,SUZUKI ACCESS 125,16.625,20.791666666666668
7,TVS VICTOR,16.625,20.791666666666668
8,HERO MAESTRO,16.625,20.791666666666668
9,Bajaj V15,16.625,20.791666666666668
10,YAMAHA FASCINO,16.625,20.791666666666668
11,Piaggio Vespa,16.625,20.791666666666668
12,YAMAHA FZ S,18.708333333333332,22.875
13,Bajaj Avenger Street 150,20.791666666666668,24.958333333333332
14,Honda CB HORNET,20.791666666666668,24.958333333333332
15,Bajaj Pulsar 150,20.791666666666668,24.958333333333332
16,Bajaj Pulsar 180,22.875,27.041666666666668
17,Bajaj Pulsar 220,24.958333333333332,27.041666666666668
18,Bajaj Avenger 220,29.125,33.291666666666664
19,Honda CBR 250,37.458333333333336,49.958333333333336
